year,day,dayLetter,problem,properName,maxScore,avgScore,avgRatio,acCnt,acRatio,dmojLink,ojuzLink,oj code
2014,2,B,5,Friend,100,33.36,33.36%,13,4.18%,[DMOJ link](https://dmoj.ca/problem/ioi14p5),[OJ.uz link](https://oj.uz/problem/view/IOI14_friend),friend
2014,2,C,6,Holiday,100,22.7,22.70%,11,3.54%,[DMOJ link](https://dmoj.ca/problem/ioi14p6),[OJ.uz link](https://oj.uz/problem/view/IOI14_holiday),holiday
2013,1,A,1,Dreaming,100,41.15,41.15%,94,31.13%,[DMOJ link](https://dmoj.ca/problem/ioi13p1),[OJ.uz link](https://oj.uz/problem/view/IOI13_dreaming),dreaming
2013,1,B,2,Art Class,100,32.48,32.48%,13,4.30%,[DMOJ link](https://dmoj.ca/problem/ioi13p2),[OJ.uz link](https://oj.uz/problem/view/IOI13_artclass),artclass
2013,1,C,3,Wombats,100,29.42,29.42%,3,0.99%,[DMOJ link](https://dmoj.ca/problem/ioi13p3),[OJ.uz link](https://oj.uz/problem/view/IOI13_wombats),wombats
2013,2,A,4,Cave,100,64.39,64.39%,135,44.70%,[DMOJ link](https://dmoj.ca/problem/ioi13p4),[OJ.uz link](https://oj.uz/problem/view/IOI13_cave),cave
2013,2,B,5,Robots,100,43.53,43.53%,47,15.56%,[DMOJ link](https://dmoj.ca/problem/ioi13p5),[OJ.uz link](https://oj.uz/problem/view/IOI13_robots),robots
2013,2,C,6,Game,100,28,28.00%,6,1.99%,[DMOJ link](https://dmoj.ca/problem/ioi13p6),[OJ.uz link](https://oj.uz/problem/view/IOI13_game),game
2012,1,A,1,Pebbling Odometer,100,29.52,29.52%,2,0.64%,[DMOJ link](https://dmoj.ca/problem/ioi12p1),,
2012,1,B,2,Parachute Rings,100,18.47,18.47%,22,7.01%,[DMOJ link](https://dmoj.ca/problem/ioi12p2),[OJ.uz link](https://oj.uz/problem/view/IOI12_rings),rings
2012,1,C,3,Crayfish Scrivener,100,51.7,51.70%,82,26.11%,[DMOJ link](https://dmoj.ca/problem/ioi12p3),[OJ.uz link](https://oj.uz/problem/view/IOI12_scrivener),scrivener
2012,2,A,4,Ideal City,100,31.39,31.39%,6,1.91%,[DMOJ link](https://dmoj.ca/problem/ioi12p4),[OJ.uz link](https://oj.uz/problem/view/IOI12_city),city
2012,2,B,5,Last Supper,100,12.5,12.50%,9,2.87%,[DMOJ link](https://dmoj.ca/problem/ioi12p5),[OJ.uz link](https://oj.uz/problem/view/IOI12_supper),supper
2012,2,C,6,Jousting Tournament,100,26.1,26.10%,38,12.10%,[DMOJ link](https://dmoj.ca/problem/ioi12p6),[OJ.uz link](https://oj.uz/problem/view/IOI12_tournament),tournament
2011,1,A,1,Tropical Garden,100,40.62,40.62%,36,11.73%,[DMOJ link](https://dmoj.ca/problem/ioi11p1),[OJ.uz link](https://oj.uz/problem/view/IOI11_garden),garden
2011,1,B,2,Race,100,25.85,25.85%,29,9.45%,[DMOJ link](https://dmoj.ca/problem/ioi11p2),[OJ.uz link](https://oj.uz/problem/view/IOI11_race),race
2011,1,C,3,Ricehub,100,56.88,56.88%,113,36.81%,[DMOJ link](https://dmoj.ca/problem/ioi11p3),[OJ.uz link](https://oj.uz/problem/view/IOI11_ricehub),ricehub
2011,2,A,4,Crocodile,100,55.15,55.15%,108,35.18%,[DMOJ link](https://dmoj.ca/problem/ioi11p4),[OJ.uz link](https://oj.uz/problem/view/IOI11_crocodile),crocodile
